sim_id,scenario_id,start_date,SPX_Return,SPX_Volatility,Card1_Active,Card2_Active,Card3_Active,Card4_Active,Card5_Active,Card6_Active,Card7_Active,Card8_Active,Card9_Active,Card10_Active,Card11_Active,Final_Return
207,lehman,2008-05-19,-30.9604,2.0416,1,1,0,1,0,0,0,0,1,0,0,-12.02
208,lehman,2009-02-13,6.3761,2.1331,1,0,1,0,0,0,1,0,0,0,1,9.25
209,lehman,2008-09-13,-29.0811,3.828,0,0,0,1,1,0,1,0,0,0,1,-11.51
210,lehman,2008-04-23,-9.2925,1.262,0,0,1,0,0,1,0,1,0,1,0,3.52
211,lehman,2009-02-23,25.4732,2.0718,0,1,0,0,0,0,1,1,0,1,0,-6.8
212,lehman,2007-11-06,-9.8726,1.5147,1,0,0,0,0,0,0,0,1,1,1,-5.2
213,lehman,2008-01-23,1.6009,1.3147,1,0,0,0,1,1,0,0,1,0,0,1.11
214,lehman,2008-10-12,-31.8902,3.3904,0,0,0,1,1,0,0,1,1,0,0,-13.51
215,lehman,2008-09-03,-34.3856,3.8417,0,0,0,1,1,0,1,1,0,0,0,-3.04
216,lehman,2008-04-07,-7.3608,1.1919,1,0,1,0,1,0,0,0,1,0,0,-2.1
217,lehman,2007-09-27,-11.1893,1.2843,0,0,1,1,0,0,0,0,0,1,1,-12.76
218,lehman,2009-05-22,20.991,1.1733,1,1,1,0,0,0,0,0,1,0,0,11.7
219,lehman,2008-03-16,0.9862,1.306,1,0,0,0,0,0,0,0,1,1,1,-1.73
220,lehman,2008-12-12,3.1441,2.3811,1,1,0,0,0,0,0,0,0,1,1,-10.58
221,lehman,2008-07-22,-29.5818,3.7239,1,0,0,0,1,0,0,0,1,1,0,-15.68
222,lehman,2008-10-08,-29.3023,3.6384,0,1,0,0,1,0,0,1,0,1,0,2.06
223,lehman,2008-03-28,-2.7843,1.2219,1,1,0,0,0,1,0,0,0,1,0,-1.33
224,lehman,2007-09-28,-12.0662,1.2895,1,0,0,0,0,0,0,1,1,1,0,-12.04
225,lehman,2009-05-16,16.2546,1.1879,0,0,1,0,0,1,1,0,0,1,0,5.79
226,lehman,2007-10-04,-10.5533,1.295,1,0,1,0,1,0,0,0,0,0,1,-9.31
227,lehman,2009-03-31,26.2574,1.5015,0,1,0,1,1,0,0,1,0,0,0,3.57
228,lehman,2008-06-13,-28.9501,3.0209,1,1,0,0,0,0,1,1,0,0,0,-22.4
229,lehman,2007-12-19,-3.4384,1.3782,0,0,0,1,1,1,0,0,1,0,0,1.51
230,lehman,2007-10-24,-12.2134,1.4536,0,1,1,0,0,0,0,1,1,0,0,22.49
231,lehman,2008-02-23,-9.2171,1.3227,1,0,0,1,0,0,1,0,0,1,0,-3.74
232,lehman,2009-05-07,17.147,1.2614,0,0,1,1,0,0,1,0,1,0,0,1.92
233,lehman,2009-05-02,16.9338,1.2635,1,1,0,0,0,0,0,1,1,0,0,9.43
234,lehman,2008-10-05,-30.4478,3.6538,1,0,0,0,0,1,1,0,0,0,1,-13.96
235,lehman,2008-12-25,3.514,2.3623,0,0,0,0,1,0,1,0,1,0,1,14.59
236,lehman,2008-11-29,6.1283,2.4885,0,1,0,1,1,0,0,0,1,0,0,10.42
237,lehman,2007-11-05,-11.9474,1.4743,0,1,0,0,1,0,0,0,1,0,1,15.48
238,lehman,2008-07-13,-30.8955,3.6684,0,1,1,1,0,1,0,0,0,0,0,-3.1
239,lehman,2008-12-11,5.2588,2.3779,1,0,0,1,0,0,0,1,1,0,0,2.89
240,lehman,2008-02-14,-5.5721,1.2849,1,1,0,0,0,0,0,0,0,1,1,0.1
241,lehman,2007-12-08,-6.7324,1.397,0,0,0,0,1,0,1,1,0,1,0,-0.07
242,lehman,2008-05-28,-31.9526,2.6595,0,0,0,1,1,0,1,0,0,0,1,-28.35
243,lehman,2008-09-13,-29.0811,3.828,1,1,0,1,0,0,0,0,1,0,0,10.37
244,lehman,2009-02-17,11.8492,2.081,0,0,1,1,1,1,0,0,0,0,0,-0.23
245,lehman,2007-09-23,-11.1265,1.2833,1,1,0,1,0,1,0,0,0,0,0,-4.38
246,lehman,2007-10-10,-15.0864,1.3151,0,1,0,0,0,0,1,0,1,1,0,23.1
247,lehman,2009-03-26,17.6344,1.5616,0,0,1,0,1,1,0,0,1,0,0,9.07
248,lehman,2008-11-04,-21.6972,3.1206,1,1,0,0,0,0,0,0,1,1,0,-9.51
249,lehman,2008-07-16,-32.1305,3.6776,1,1,1,0,0,0,0,0,0,1,0,-2.56
250,lehman,2007-12-24,-4.7512,1.3691,0,0,0,0,0,1,1,0,1,0,1,9.82
251,lehman,2007-10-01,-12.5356,1.2845,0,0,0,0,0,0,1,0,1,1,1,-3.02
252,lehman,2008-07-23,-31.8674,3.732,0,1,1,1,0,0,0,0,0,1,0,-11.09
253,lehman,2008-07-03,-36.6514,3.4605,0,0,0,1,1,1,1,0,0,0,0,-36.3
254,lehman,2008-03-17,0.9862,1.306,0,0,0,1,0,0,1,1,1,0,0,-1.89
255,lehman,2007-09-08,-5.0389,1.2633,1,0,0,0,1,1,0,0,0,1,0,3.5
